Name,Phone,Category,Subcategory,District,Address,Latitude,Longitude,Google Maps URL
AMANA FAST FOOD,+919526257266,Restaurants,Restaurants,Palakkad,"11/1, Road, near Ration Shop, Lakkidi Koottupatha, Ottapalam, Lakkidi, Kerala 679301, India",10.7756112,76.4338807,https://www.google.com/maps/place/AMANA+FAST+FOOD/data=!4m7!3m6!1s0x3ba7d949faaaa83f:0xc965b72ae169d97f!8m2!3d10.7756112!4d76.4338807!16s%2Fg%2F11v9hk22rv!19sChIJP6iq-knZpzsRf9lp4Sq3Zck?authuser=0&hl=en&rclk=1
chayakkada,,Cafes,Cafes,Kozhikode,"MHP3+HGX, Maanamjal Rd, Azhiyur, Kerala 673309, India",11.6864793,75.5538593,https://www.google.com/maps/place/chayakkada/data=!4m7!3m6!1s0x3ba683003c62a4d5:0x1b784dddc7cca8c6!8m2!3d11.6864793!4d75.5538593!16s%2Fg%2F11x5nl9k02!19sChIJ1aRiPACDpjsRxqjMx91NeBs?authuser=0&hl=en&rclk=1
Calicut Sopanam Veg Restaurant,,Vegetarian restaurant,Vegetarian restaurant,Kozhikode,"Ground floor, Hotel Wayanad regency, Thamarassery, Kerala 673573, India",11.4068959,75.9313272,https://www.google.com/maps/place/Calicut+Sopanam+Veg+Restaurant/data=!4m7!3m6!1s0x3ba6693abdf7ff27:0xf47f79027ec91650!8m2!3d11.4068959!4d75.9313272!16s%2Fg%2F11t6v_f2td!19sChIJJ__3vTpppjsRUBbJfgJ5f_Q?authuser=0&hl=en&rclk=1
VP KITCHEN RESTAURANT KORANGAD,,Family restaurant,Family restaurant,Kozhikode,"Korangad, Thamarassery, Kerala 673573, India",11.4275772,75.9265869,https://www.google.com/maps/place/VP+KITCHEN+RESTAURANT+KORANGAD/data=!4m7!3m6!1s0x3ba6698145f03849:0x1061c4106d4c73df!8m2!3d11.4275772!4d75.9265869!16s%2Fg%2F11z910qd22!19sChIJSTjwRYFppjsR33NMbRDEYRA?authuser=0&hl=en&rclk=1
"Hotel Achoos, Pullanjimed",+919947163321,Restaurant,Restaurant,Kozhikode,"CXR4+4F6, Raroth, Kerala 673586, India",11.4403153,75.9559613,"https://www.google.com/maps/place/Hotel+Achoos,+Pullanjimed/data=!4m7!3m6!1s0x3ba66911566b3c77:0xb2b95467636eb713!8m2!3d11.4403153!4d75.9559613!16s%2Fg%2F11q3_pv44j!19sChIJdzxrVhFppjsRE7duY2dUubI?authuser=0&hl=en&rclk=1"
Kamath Medical Centre,+914994230004,Clinics,Hospital,Kasaragod,"New Bus Stand Road Karandakkad, KASARAGOD",12.506022500000,74.991239000000,https://www.google.com/maps/place/Kamath+Medical+Centre/data=!4m7!3m6!1s0x3ba4825d58dc4e55:0x333220b5f640739d!8m2!3d12.5060225!4d74.991239!16s%2Fg%2F1tfx3bfz!19sChIJVU7cWF2CpDsRnXNA9rUgMjM?authuser=0&hl=ar&rclk=1
Taluk Hospital Payyannur,+914985203130,Hospital,Hospital,Kannur,"Kannur,Payyanur, Kannur",12.114222500000,75.210807400000,https://www.google.com/maps/place/Taluk+Hospital+Payyannur/data=!4m7!3m6!1s0x3ba46c3030cb7993:0xef04842390e169d0!8m2!3d12.1141761!4d75.2104082!16s%2Fg%2F11b6t7b5fs!19sChIJk3nLMDBspDsR0GnhkCOEBO8?authuser=0&hl=ar&rclk=1
Aishal Medicity,09562279000,Clinics,Hospital,Kasaragod,"Puthiyavalappu Kottacherry, kasaragod",12.327422138889,75.085693333333,https://www.google.com/maps/place/Aishal+Medicity/data=!4m7!3m6!1s0x3ba47d075b507225:0xb4f52d49cd9e1e4d!8m2!3d12.3273404!4d75.085649!16s%2Fg%2F11sr7qfzkm!19sChIJJXJQWwd9pDsRTR6ezUkt9bQ?authuser=0&hl=ar&rclk=1
Rochoos Cafeteria,+919585542577,Restaurants,Restaurants,Palakkad,"Chandanappuram, Pathirippala, Kerala 678642, India",10.7842323,76.4800293,"https://www.google.com/maps/place/Rochoos+Cafeteria/@10.7842323,76.4800293,17z/data=!4m6!3m5!1s0x3ba8778b65949e73:0x1f1cc58062065bf3!8m2!3d10.7842323!4d76.4800293!16s%2Fg%2F11ltv2t8c4"
Unknown Name,,Restaurants,Restaurants,Wayanad,,11.6109665,76.197464,"https://www.google.com/maps/search/restaurants+in+673595+Kerala/@11.6109665,76.197464,10z?hl=en&g_ep=Eg1tbF8yMDI2MDYyNF8wIJvbDyoASAJQAQ%3D%3D"
Dilpot Multi Cuisine Restaurant,+917560891000,Restaurants,Restaurants,Wayanad,"Zudio Royal Gallery, NH 766, Sultan Bathery, Kerala 673592, India",11.658528,76.2459115,https://www.google.com/maps/place/Dilpot+Multi+Cuisine+Restaurant/data=!4m7!3m6!1s0x3ba609d3378ea3c7:0xe4fdc0ab9733225e!8m2!3d11.658528!4d76.2459115!16s%2Fg%2F11myg3ffv8!19sChIJx6OON9MJpjsRXiIzl6vA_eQ?authuser=0&hl=en&rclk=1
Vayaltheeram Toddy Shop,+919745302356,Restaurants,Restaurants,Wayanad,"J8Q4+69, Nambikolli, Kerala 673595, India",11.6380335,76.3058984,https://www.google.com/maps/place/Vayaltheeram+Toddy+Shop/data=!4m7!3m6!1s0x3ba605bb70651287:0xdbd792d0d1249077!8m2!3d11.6380335!4d76.3058984!16s%2Fg%2F11qpt5kdbg!19sChIJhxJlcLsFpjsRd5Ak0dCS19s?authuser=0&hl=en&rclk=1
New Empire Restaurant,+919495263200,Restaurants,Restaurants,Wayanad,"Mele Puthankunnu, Sultan Bathery, Nenmeni, Kerala 673592, India",11.6446855,76.29824,https://www.google.com/maps/place/New+Empire+Restaurant/data=!4m7!3m6!1s0x3ba605006c9e12fd:0x9e48952070b58bb4!8m2!3d11.6446855!4d76.29824!16s%2Fg%2F11y40g043f!19sChIJ_RKebAAFpjsRtIu1cCCVSJ4?authuser=0&hl=en&rclk=1
Jubilee Restaurant,+919847629629,Restaurants,Restaurants,Wayanad,"Jubilee Complex, Sulthan Bathery - Thaloor Rd, Sultan Bathery, Kerala 673592, India",11.6624661,76.254342,https://www.google.com/maps/place/Jubilee+Restaurant/data=!4m7!3m6!1s0x3ba608bbe8702c47:0x564d49783d730a6e!8m2!3d11.6624661!4d76.254342!16s%2Fg%2F11bxc6bzsq!19sChIJRyxw6LsIpjsRbgpzPXhJTVY?authuser=0&hl=en&rclk=1
Green Leaf restaurant,,Restaurants,Restaurants,Wayanad,"Mundakolli, Gudalur Road, Sultan Bathery, Kerala 673577, India",11.6164117,76.3335571,https://www.google.com/maps/place/Green+Leaf+restaurant/data=!4m7!3m6!1s0x3ba605006b68dde7:0x4faaf117b42edf12!8m2!3d11.6164117!4d76.3335571!16s%2Fg%2F11nbjh1_nl!19sChIJ591oawAFpjsREt8utBfxqk8?authuser=0&hl=en&rclk=1
Mina Restaurant,,Restaurants,Restaurants,Wayanad,"J857+43Fnear, Juma Masjid, Vendol Paniya Colony, Cheeral, Kerala 673595, India",11.6078604,76.3127166,https://www.google.com/maps/place/Mina+Restaurant/data=!4m7!3m6!1s0x3ba609005e67f861:0xe31e8e0937ff7475!8m2!3d11.6078604!4d76.3127166!16s%2Fg%2F11wxw5yg7l!19sChIJYfhnXgAJpjsRdXT_NwmOHuM?authuser=0&hl=en&rclk=1
Wayanad Restaurant,+919605112331,Restaurants,Restaurants,Wayanad,"Millumukku, Kaniyambetta, Wayanad, Kerala 670721, India",11.7021513,76.0782118,https://www.google.com/maps/place/Wayanad+Restaurant/data=!4m7!3m6!1s0x3ba675ba99ffa189:0xf9b5dfe7c24bafe4!8m2!3d11.7021513!4d76.0782118!16s%2Fg%2F11v6k4k2sq!19sChIJiaH_mbp1pjsR5K9Lwufftfk?authuser=0&hl=en&rclk=1
Ruchippura - The real village flavor,,Restaurants,Restaurants,Wayanad,"M65W+8J, Sultan Bathery, Kerala 673592, India",11.658314,76.2466186,https://www.google.com/maps/place/Ruchippura+-+The+real+village+flavor/data=!4m7!3m6!1s0x3ba6094942ff6e55:0x27f1a35e846a44c1!8m2!3d11.658314!4d76.2466186!16s%2Fg%2F11rdcmlvby!19sChIJVW7_QkkJpjsRwURqhF6j8Sc?authuser=0&hl=en&rclk=1
kalpaka pure veg restaurant,,Restaurants,Restaurants,Wayanad,"M775+73Q, NH 766, Sathramkunnu, Sultan Bathery, Kerala 673592, India",11.6632471,76.2577066,https://www.google.com/maps/place/kalpaka+pure+veg+restaurant/data=!4m7!3m6!1s0x3ba609004eedcb6f:0x5160931ecfbc439!8m2!3d11.6632471!4d76.2577066!16s%2Fg%2F11vwt5ypv1!19sChIJb8vtTgAJpjsROcT77DEJFgU?authuser=0&hl=en&rclk=1
BARAKA RESTAURANT,,Restaurants,Restaurants,Wayanad,"M9GF+R64, NH 766, Muthanga, Kerala 673592, India",11.6770026,76.3730702,https://www.google.com/maps/place/BARAKA+RESTAURANT/data=!4m7!3m6!1s0x3ba601eb42633417:0xca73092f301c02d0!8m2!3d11.6770026!4d76.3730702!16s%2Fg%2F11svqys6w8!19sChIJFzRjQusBpjsR0AIcMC8Jc8o?authuser=0&hl=en&rclk=1
CAFE CORNER HOUSE,+918590617005,Restaurants,Restaurants,Wayanad,"near St. Mary's College, Game Village, Kuppady, Sultan Bathery, Kerala 673592, India",11.6778284,76.2666926,https://www.google.com/maps/place/CAFE+CORNER+HOUSE/data=!4m7!3m6!1s0x3ba60964951b2a4f:0x5e295e4ff59f6fa4!8m2!3d11.6778284!4d76.2666926!16s%2Fg%2F11sc3h6vb8!19sChIJTyoblWQJpjsRpG-f9U9eKV4?authuser=0&hl=en&rclk=1
Thankus kitchen,+919744622606,Restaurants,Restaurants,Wayanad,"J8H6+R8P, Pazhoor - Cheeral Rd, Pazhoor, Kerala 673595, India",11.6295788,76.3107677,https://www.google.com/maps/place/Thankus+kitchen/data=!4m7!3m6!1s0x3ba605006aced34d:0x7c6adcda969f0548!8m2!3d11.6295788!4d76.3107677!16s%2Fg%2F11yv17s1s5!19sChIJTdPOagAFpjsRSAWfltrcanw?authuser=0&hl=en&rclk=1
Kabab Shack Restaurant,+917034242942,Restaurants,Restaurants,Wayanad,"Kalpetta Bypass Rd, Gudalai, Kairali Nagar, Kalpetta, Kerala 673121, India",11.620174,76.0888071,https://www.google.com/maps/place/Kabab+Shack+Restaurant/data=!4m7!3m6!1s0x3ba60d259d1c5b09:0x96cd446b3cb07126!8m2!3d11.620174!4d76.0888071!16s%2Fg%2F11s8h12l5h!19sChIJCVscnSUNpjsRJnGwPGtEzZY?authuser=0&hl=en&rclk=1
Puthanpurayil homely food,+919447896910,Restaurants,Restaurants,Wayanad,"Edakkal Cave road, Ayirmkolly Kerala 678393 IN, Ambalavayal, Kerala 673593, India",11.63273,76.2163326,https://www.google.com/maps/place/Puthanpurayil+homely+food/data=!4m7!3m6!1s0x3ba60f0dc0744337:0x346500bbea5fca87!8m2!3d11.63273!4d76.2163326!16s%2Fg%2F11ghfshkfr!19sChIJN0N0wA0PpjsRh8pf6rsAZTQ?authuser=0&hl=en&rclk=1
MINT FLOWER RESTAURANT,,Restaurants,Restaurants,Wayanad,"near mathais bakery, Chungam, Sultan Bathery, Kerala 673592, India",11.6648664,76.2625842,https://www.google.com/maps/place/MINT+FLOWER+RESTAURANT/data=!4m7!3m6!1s0x3ba6092ef3d3cb93:0x4e13ce1d7d5132ee!8m2!3d11.6648664!4d76.2625842!16s%2Fg%2F11ff0w6t4v!19sChIJk8vT8y4JpjsR7jJRfR3OE04?authuser=0&hl=en&rclk=1
Nandu's veg restaurant,+919645363194,Restaurants,Restaurants,Wayanad,"Edakkal Rd, Aayiramkolli, Nenmeni, Kerala 673593, India",11.6276036,76.2286173,https://www.google.com/maps/place/Nandu%27s+veg+restaurant/data=!4m7!3m6!1s0x3ba60fc331ce9227:0xbd2e642cb110e991!8m2!3d11.6276036!4d76.2286173!16s%2Fg%2F11z15m050n!19sChIJJ5LOMcMPpjsRkekQsSxkLr0?authuser=0&hl=en&rclk=1
Benjoz Restaurant,,Restaurants,Restaurants,Wayanad,"Kalpetta Bypass Rd, Civil Station, Kairali Nagar, Kalpetta, Kerala 673121, India",11.6215617,76.0896724,https://www.google.com/maps/place/Benjoz+Restaurant/data=!4m7!3m6!1s0x3ba60d007bfaed89:0x7c444c6e27e514b!8m2!3d11.6215617!4d76.0896724!16s%2Fg%2F11yv2cltdx!19sChIJie36ewANpjsRS1F-4sZExAc?authuser=0&hl=en&rclk=1
Newform Restaurant,+917593881112,Restaurants,Restaurants,Wayanad,"J4XP+MRF, 766, National Highway, Kakkavayal, Muttil North, Kerala 673122, India",11.6492148,76.1371073,https://www.google.com/maps/place/Newform+Restaurant/data=!4m7!3m6!1s0x3ba60b84bc18c985:0xc79d22c4ba7d6a7e!8m2!3d11.6492148!4d76.1371073!16s%2Fg%2F11t89zwcd0!19sChIJhckYvIQLpjsRfmp9usQincc?authuser=0&hl=en&rclk=1
Chekadi's 90's kitchen wayanad,,Restaurants,Restaurants,Wayanad,"Chekadi-Pulpally Rd, Palvelicham, Kerala 670646, India",11.8391066,76.0967872,https://www.google.com/maps/place/Chekadi%27s+90%27s+kitchen+wayanad/data=!4m7!3m6!1s0x3ba5e77b647c68fb:0x2ff9401be396f784!8m2!3d11.8391066!4d76.0967872!16s%2Fg%2F11xdk4grx9!19sChIJ-2h8ZHvnpTsRhPeW4xtA-S8?authuser=0&hl=en&rclk=1
Hotel Nature Valley,+919562802826,Restaurants,Restaurants,Wayanad,"Kuruva Island, Pakkam, Kerala 673579, India",11.820359,76.1002739,https://www.google.com/maps/place/Hotel+Nature+Valley/data=!4m7!3m6!1s0x3ba5e726cbf4d4cb:0xb154738b1064ad4f!8m2!3d11.820359!4d76.1002739!16s%2Fg%2F11tntx6l04!19sChIJy9T0yybnpTsRT61kEItzVLE?authuser=0&hl=en&rclk=1
VAYALORAM FOOD SPOT,,Restaurants,Restaurants,Wayanad,"PO, Madal, Mullenkolly, Kerala 673579, India",11.8327506,76.156163,https://www.google.com/maps/place/VAYALORAM+FOOD+SPOT/data=!4m7!3m6!1s0x3ba5e76fea310ac1:0x5c1a1bed212b1621!8m2!3d11.8327506!4d76.156163!16s%2Fg%2F11sdm139vg!19sChIJwQox6m_npTsRIRYrIe0bGlw?authuser=0&hl=en&rclk=1
Jubilee Restaurant Kattikkulam,+916282220550,Restaurants,Restaurants,Wayanad,"Holiday Hill Hotel Building, Mananthavady Bypass, Kattikkulam, Kerala 670646, India",11.8484176,76.064905,https://www.google.com/maps/place/Jubilee+Restaurant+Kattikkulam/data=!4m7!3m6!1s0x3ba5dd0050e288e5:0x3594908b082cd4d9!8m2!3d11.8484176!4d76.064905!16s%2Fg%2F11xv53bt6q!19sChIJ5YjiUADdpTsR2dQsCIuQlDU?authuser=0&hl=en&rclk=1
TOMY'S FARM CAFE,,Restaurants,Restaurants,Wayanad,"Anapara Road, Pulpally, Kerala 673579, India",11.7932754,76.1614433,https://www.google.com/maps/place/TOMY%27S+FARM+CAFE/data=!4m7!3m6!1s0x3ba5e1004955959f:0xe84dcdc14086c905!8m2!3d11.7932754!4d76.1614433!16s%2Fg%2F11yz73zxmj!19sChIJn5VVSQDhpTsRBcmGQMHNTeg?authuser=0&hl=en&rclk=1
BREAK TIME CAFE,+919778464117,Restaurants,Restaurants,Wayanad,"Cr Building, 55 Periallur Road, near Pumb, Pakkom, Mullenkolly, Kerala 673579, India",11.80689,76.1618683,https://www.google.com/maps/place/BREAK+TIME+CAFE/data=!4m7!3m6!1s0x3ba5e15fa7fc4499:0x37b69915b708ac09!8m2!3d11.80689!4d76.1618683!16s%2Fg%2F11txqcw844!19sChIJmUT8p1_hpTsRCawItxWZtjc?authuser=0&hl=en&rclk=1
Club 49,,Restaurant,Restaurant,Kozhikode,"Parambath, Kozhikode, Kerala 673317, India",11.3544343,75.7588733,https://www.google.com/maps/place/Club+49/data=!4m7!3m6!1s0x3ba65f004c9d192d:0x593b0dca25c417c!8m2!3d11.3544343!4d75.7588733!16s%2Fg%2F11yn2_6c80!19sChIJLRmdTABfpjsRfEFcotywkwU?authuser=0&hl=en&rclk=1
WMO Qatar Bakery & Restaurant,+919605596055,Restaurants,Restaurants,Wayanad,"766, National Highway, Muttil North, Kerala 673122, India",11.6490635,76.1266755,https://www.google.com/maps/place/WMO+Qatar+Bakery+%26+Restaurant/data=!4m7!3m6!1s0x3ba60b798243de77:0x7e2ccc65b4c4c615!8m2!3d11.6490635!4d76.1266755!16s%2Fg%2F11fx9k0d06!19sChIJd95DgnkLpjsRFcbEtGXMLH4?authuser=0&hl=en&rclk=1
Aleena Mess,,Restaurants,Restaurants,Wayanad,"Perikkallur, Padichira, Kerala 673579, India",11.8556972,76.1528693,https://www.google.com/maps/place/Aleena+Mess/data=!4m7!3m6!1s0x3ba5e6f2fb7d6ec3:0x7e2dbece357a4346!8m2!3d11.8556972!4d76.1528693!16s%2Fg%2F11ckr5xzcf!19sChIJw259-_LmpTsRRkN6Nc6-LX4?authuser=0&hl=en&rclk=1
Ela Restaurant,+916282218236,Restaurants,Restaurants,Wayanad,"QXC5+FC8, Kallody, Edavaka, Kerala 670645, India",11.7810752,75.9791182,https://www.google.com/maps/place/Ela+Restaurant/data=!4m7!3m6!1s0x3ba5d900228c9cd1:0xf48bc8bca6d05f7d!8m2!3d11.7810752!4d75.9791182!16s%2Fg%2F11yv62g2pr!19sChIJ0ZyMIgDZpTsRfV_QprzIi_Q?authuser=0&hl=en&rclk=1
VANITHA HOTEL™,+918447078254,Restaurants,Restaurants,Wayanad,"J6JF+9C9, Nenmeni, Kerala 673593, India",11.6309084,76.2235967,https://www.google.com/maps/place/VANITHA+HOTEL%E2%84%A2/data=!4m7!3m6!1s0x3ba60f8d95f3cdb3:0x7c4ad46333dd494d!8m2!3d11.6309084!4d76.2235967!16s%2Fg%2F11hzn3szgc!19sChIJs83zlY0PpjsRTUndM2PUSnw?authuser=0&hl=en&rclk=1
ROYAL SPICE RESTAURANT THE SPICE OF LIFE,+918086624365,Restaurants,Restaurants,Wayanad,"Calicut Rd, Thonichal, Mananthavady, Kerala 670645, India",11.7716808,76.0000598,https://www.google.com/maps/place/ROYAL+SPICE+RESTAURANT+THE+SPICE+OF+LIFE/data=!4m7!3m6!1s0x3ba5df4cb9700545:0xfc93e781c2531b9c!8m2!3d11.7716808!4d76.0000598!16s%2Fg%2F11vpxw83y4!19sChIJRQVwuUzfpTsRnBtTwoHnk_w?authuser=0&hl=en&rclk=1
Sagdi Annapurna Restaurant,,Restaurants,Restaurants,Wayanad,"vazhavatta, J5F4+MFG, Ambalavayal, Karapuzha Road, Muttil South, Kerala 673122, India",11.6233449,76.1568449,https://www.google.com/maps/place/Sagdi+Annapurna+Restaurant/data=!4m7!3m6!1s0x3ba60ded7a5c5185:0xdfbe511689c62773!8m2!3d11.6233449!4d76.1568449!16s%2Fg%2F11tfzbn7yn!19sChIJhVFceu0NpjsRcyfGiRZRvt8?authuser=0&hl=en&rclk=1
NICE RESTAURANT,+919846410952,Restaurants,Restaurants,Wayanad,"22/2 KUZHINILAM, THALASSERY ROAD, Edavaka, Mananthavady, Kerala 670645, India",11.8202785,75.9832038,https://www.google.com/maps/place/NICE+RESTAURANT/data=!4m7!3m6!1s0x3ba5db920159f87f:0xe4675208be50be13!8m2!3d11.8202785!4d75.9832038!16s%2Fg%2F11qh6ytl44!19sChIJf_hZAZLbpTsRE75QvghSZ-Q?authuser=0&hl=en&rclk=1
Shawaya House,+919539058080,Restaurants,Restaurants,Wayanad,"Kelloor, 5th mile, Mananthavady, Kerala 670645, India",11.7503703,76.0129826,https://www.google.com/maps/place/Shawaya+House/data=!4m7!3m6!1s0x3ba5dff0e57ee0c7:0x8e69c18246efe503!8m2!3d11.7503703!4d76.0129826!16s%2Fg%2F11svlrp_zz!19sChIJx-B-5fDfpTsRA-XvRoLBaY4?authuser=0&hl=en&rclk=1
The Tamarind,+918086375400,Restaurants,Restaurants,Wayanad,"H5PH+6X, Thrikkaipatta part, Kerala 673581, India",11.5859154,76.1792263,https://www.google.com/maps/place/The+Tamarind/data=!4m7!3m6!1s0x3ba60f2307af5439:0xa67813cde703e005!8m2!3d11.5859154!4d76.1792263!16s%2Fg%2F11y8sq5s8t!19sChIJOVSvByMPpjsRBeAD580TeKY?authuser=0&hl=en&rclk=1
New Thalassery Restraunt,,Restaurants,Restaurants,Wayanad,"H64F+V74, Vaduvanchal, Kerala 673581, India",11.5570818,76.2233494,https://www.google.com/maps/place/New+Thalassery+Restraunt/data=!4m7!3m6!1s0x3ba60ff40ba2f2a9:0xea68b9a83048d8de!8m2!3d11.5570818!4d76.2233494!16s%2Fg%2F11rkg21wzr!19sChIJqfKiC_QPpjsR3thIMKi5aOo?authuser=0&hl=en&rclk=1
Tripthi Mess Homely Food,,Restaurants,Restaurants,Wayanad,"G5WV+J5, Nedumkarana, Kerala 673581, India",11.546583,76.192972,https://www.google.com/maps/place/Tripthi+Mess+Homely+Food/data=!4m7!3m6!1s0x3ba611ae818969b7:0xef7494a29989f28a!8m2!3d11.546583!4d76.192972!16s%2Fg%2F11pkbhk5lt!19sChIJt2mJga4RpjsRivKJmaKUdO8?authuser=0&hl=en&rclk=1
C G Mess Homely Meals Restaurant,,Restaurants,Restaurants,Wayanad,"H627+HCV, Vaduvanchal, Kerala 673581, India",11.551497,76.2135375,https://www.google.com/maps/place/C+G+Mess+Homely+Meals+Restaurant/data=!4m7!3m6!1s0x3ba6116e3e47cdd7:0x66b0d67d26c88f6e!8m2!3d11.551497!4d76.2135375!16s%2Fg%2F11rb1scv7m!19sChIJ181HPm4RpjsRbo_IJn3WsGY?authuser=0&hl=en&rclk=1
Coffee country restaurant,,Restaurants,Restaurants,Wayanad,"H52C+9R, Nedumkarana, Kerala 673577, India",11.550163,76.1723482,https://www.google.com/maps/place/Coffee+country+restaurant/data=!4m7!3m6!1s0x3ba61300217c854b:0x377cbcf4394892e1!8m2!3d11.550163!4d76.1723482!16s%2Fg%2F11y65qsty8!19sChIJS4V8IQATpjsR4ZJIOfS8fDc?authuser=0&hl=en&rclk=1
തട്ടുകട,,Restaurants,Restaurants,Wayanad,"H66F+W43, Vaduvanchal - Kolagappara Rd, Vaduvanchal, Kerala 673581, India",11.5622849,76.2227927,https://www.google.com/maps/place/%E0%B4%A4%E0%B4%9F%E0%B5%8D%E0%B4%9F%E0%B5%81%E0%B4%95%E0%B4%9F/data=!4m7!3m6!1s0x3ba60f006aec8b33:0xdb7cbc357932c75!8m2!3d11.5622849!4d76.2227927!16s%2Fg%2F11mltw_0gj!19sChIJM4vsagAPpjsRdSyTV8PLtw0?authuser=0&hl=en&rclk=1
Olive Bakes & Restaurant,+917025548850,Restaurants,Restaurants,Wayanad,"opposite GVHSS, Ambalavayal, Kerala 673593, India",11.6219085,76.2112653,https://www.google.com/maps/place/Olive+Bakes+%26+Restaurant/data=!4m7!3m6!1s0x3ba60fec3d2a8acd:0xf1372c14b869ea2a!8m2!3d11.6219085!4d76.2112653!16s%2Fg%2F11x724zj7q!19sChIJzYoqPewPpjsRKuppuBQsN_E?authuser=0&hl=en&rclk=1
SAFA,+919539492616,Restaurants,Restaurants,Wayanad,"Vaduvanchal, Kerala 673581, India",11.5566371,76.222526,https://www.google.com/maps/place/SAFA/data=!4m7!3m6!1s0x3ba60e2a832f3605:0xb9b7f47ee1ad1081!8m2!3d11.5566371!4d76.222526!16s%2Fg%2F11cp7f7phf!19sChIJBTYvgyoOpjsRgRCt4X70t7k?authuser=0&hl=en&rclk=1
Veelukutty Chaya Kada,,Restaurants,Restaurants,Wayanad,"G6XH+VH3, SH29, Chithragiri, Vaduvanchal, Kerala 673581, India",11.5496385,76.2289161,https://www.google.com/maps/place/Veelukutty+Chaya+Kada/data=!4m7!3m6!1s0x3ba6102c4100271b:0x78060277d95958b9!8m2!3d11.5496385!4d76.2289161!16s%2Fg%2F1hc2slpln!19sChIJGycAQSwQpjsRuVhZ2XcCBng?authuser=0&hl=en&rclk=1
Al Madeena Hotel,+919961688006,Restaurants,Restaurants,Wayanad,"H649+4HG, SH29, Vaduvanchal, Kerala 673581, India",11.5552373,76.2189118,https://www.google.com/maps/place/Al+Madeena+Hotel/data=!4m7!3m6!1s0x3ba611aaa1216c19:0x5b1144503bc92360!8m2!3d11.5552373!4d76.2189118!16s%2Fg%2F11l27r52mx!19sChIJGWwhoaoRpjsRYCPJO1BEEVs?authuser=0&hl=en&rclk=1
Food paradise,+919947372846,Restaurants,Restaurants,Wayanad,"H64F+FFC, Vaduvanchal, Kerala 673581, India",11.556262,76.2237839,https://www.google.com/maps/place/Food+paradise/data=!4m7!3m6!1s0x3ba611000c24f317:0x235cd8dcd234e3!8m2!3d11.556262!4d76.2237839!16s%2Fg%2F11lmpvsty6!19sChIJF_MkDAARpjsR4zTS3NhcIwA?authuser=0&hl=en&rclk=1
(Hotel Santosh). Thalassery hotel,+919745247919,Restaurants,Restaurants,Wayanad,"H64F+P7Q, Vaduvanchal, Kerala 673581, India",11.5568391,76.2232458,https://www.google.com/maps/place/%28Hotel+Santosh%29.+Thalassery+hotel/data=!4m7!3m6!1s0x3ba60e2a98ae3cb9:0x5aae864ea5097e68!8m2!3d11.5568391!4d76.2232458!16s%2Fg%2F11cmxxy72n!19sChIJuTyumCoOpjsRaH4JpU6Grlo?authuser=0&hl=en&rclk=1
CHINJUMESS ചിഞ്ചു മെസ്സ്,,Restaurants,Restaurants,Wayanad,"Vaduvanchal, Kerala 673581, India",11.5602243,76.224292,https://www.google.com/maps/place/CHINJUMESS+%E0%B4%9A%E0%B4%BF%E0%B4%9E%E0%B5%8D%E0%B4%9A%E0%B5%81+%E0%B4%AE%E0%B5%86%E0%B4%B8%E0%B5%8D%E0%B4%B8%E0%B5%8D/data=!4m7!3m6!1s0x3ba60e2b316bf7b9:0xf1d73fa63fb2857a!8m2!3d11.5602243!4d76.224292!16s%2Fg%2F11g8btz7ch!19sChIJufdrMSsOpjsReoWyP6Y_1_E?authuser=0&hl=en&rclk=1
Puttad,,Restaurants,Restaurants,Wayanad,"H5HC+7MG, Puttad, Puttad Rd, Kerala 673577, India",11.578194,76.171702,https://www.google.com/maps/place/Puttad/data=!4m7!3m6!1s0x3ba60d4e949762dd:0xb4b049bf6b995eca!8m2!3d11.578194!4d76.171702!16s%2Fg%2F11vb7dft79!19sChIJ3WKXlE4NpjsRyl6Za79JsLQ?authuser=0&hl=en&rclk=1
Jithu's Food Corner,,Restaurants,Restaurants,Wayanad,"Vellarimala, Kerala 673577, India",11.5073443,76.1578014,https://www.google.com/maps/place/Jithu%27s+Food+Corner/data=!4m7!3m6!1s0x3ba613cae7169607:0xedf10e5b1e8c9351!8m2!3d11.5073443!4d76.1578014!16s%2Fg%2F11bxf9w022!19sChIJB5YW58oTpjsRUZOMHlsO8e0?authuser=0&hl=en&rclk=1
Grilax Restaurant,+917012181829,Restaurants,Restaurants,Wayanad,"Meppadi - Chooralmala Road, Vellarimala, Kerala 673577, India",11.5229485,76.1339068,https://www.google.com/maps/place/Grilax+Restaurant/data=!4m7!3m6!1s0x3ba61393a492b717:0xd4acfb4f0bda0c9b!8m2!3d11.5229485!4d76.1339068!16s%2Fg%2F11rrsb07yy!19sChIJF7eSpJMTpjsRmwzaC0_7rNQ?authuser=0&hl=en&rclk=1
T K Homely Food,,Restaurants,Restaurants,Wayanad,"J6HH+R5, Nenmeni, Kerala 673593, India",11.6295569,76.2279374,https://www.google.com/maps/place/T+K+Homely+Food/data=!4m7!3m6!1s0x3ba60f328b3c06cd:0x3c031636ffeddc13!8m2!3d11.6295569!4d76.2279374!16s%2Fg%2F11sdns9t0m!19sChIJzQY8izIPpjsRE9zt_zYWAzw?authuser=0&hl=en&rclk=1
